Retention,MaxLevelPassed,User_id,AB_Cohort,SumRevenue,CountBuy,CountAllStart,CountAllFinish,CountCleanStart,CountCleanFinish,Get_Ads,Get_Chapter,Get_Buy,Get_Faceb,Get_TeamL,Get_TeamT,Spend_BonLives,Spend_Bonus,Spend_Boost,Spend_Lives,Spend_Moves,Spend_TeamC
1,34,1243,A,0,0,10,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0
2,39,1243,A,0,0,14,5,13,5,0,210,0,0,0,0,0,0,0,0,0,0
3,39,1243,A,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
4,39,1243,A,0,0,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,40,1243,A,0,0,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
6,40,1243,A,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
7,40,1243,A,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,12,1244,A,0,0,12,12,8,8,0,0,0,0,0,0,0,0,0,0,1980,0
1,12,1244,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,25,1245,A,0,0,7,2,5,2,0,0,0,0,30,0,0,0,0,0,0,0
2,45,1245,A,0,0,60,35,57,34,0,100,0,0,0,0,0,0,0,0,0,0
0,58,1246,A,0,0,4,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,60,1246,A,0,0,13,2,11,1,0,120,0,0,0,0,0,0,0,0,0,0
2,63,1246,A,0,0,8,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0
3,63,1246,A,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4,63,1246,A,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1247,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,32,1248,A,0,0,14,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1249,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58,1250,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1,59,1250,A,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,60,1250,A,0,0,1,1,1,1,0,480,0,0,0,0,0,0,0,0,0,0
4,62,1250,A,0,0,26,2,26,2,0,0,0,0,0,0,0,0,0,0,0,0
5,63,1250,A,0,0,32,9,32,9,0,0,0,0,0,0,0,0,0,0,0,0
6,67,1250,A,0,0,18,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0
7,67,1250,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54,1251,A,0,0,19,5,19,5,0,0,0,0,20,0,0,0,0,0,0,0
1,59,1251,A,0,0,27,7,26,6,0,0,0,0,10,0,0,0,0,0,0,0
3,70,1251,A,0,0,32,11,32,11,0,420,0,0,50,0,0,0,0,0,0,0
4,72,1251,A,0,0,7,2,6,1,0,0,0,0,40,0,0,0,0,0,990,0
5,77,1251,A,0,0,32,11,31,11,0,0,0,0,30,0,0,0,0,0,0,0
0,40,1252,A,0,0,20,3,18,3,0,0,0,0,0,0,0,0,0,0,0,0
1,40,1252,A,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40,1252,A,0,0,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3,44,1252,A,0,0,35,12,29,11,0,0,0,0,0,0,0,0,0,0,0,0
4,44,1252,A,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
5,44,1252,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,44,1252,A,0,0,7,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0
7,46,1252,A,0,0,20,4,17,2,0,0,0,0,0,0,0,0,0,0,0,0
0,110,1253,A,0,0,21,3,20,2,0,0,0,0,0,0,0,0,0,0,0,0
1,112,1253,A,0,0,19,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0
2,114,1253,A,0,0,14,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0
3,131,1253,A,0,0,76,17,76,17,0,430,0,0,0,0,0,0,0,0,0,0
4,131,1253,A,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,133,1253,A,0,0,26,4,25,3,0,0,0,0,0,0,0,0,0,0,0,0
6,133,1253,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,134,1253,A,0,0,10,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0
0,50,1254,A,0,0,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
1,57,1254,A,0,0,32,7,29,5,0,0,0,0,0,0,0,0,0,0,0,0
2,57,1254,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4,58,1254,A,0,0,6,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0
5,60,1254,A,0,0,23,2,21,1,0,350,0,0,0,0,0,0,0,0,0,0
6,65,1254,A,0,0,24,5,22,4,0,0,0,0,0,0,0,0,0,0,0,0
7,70,1254,A,0,0,18,5,16,4,0,0,0,0,0,0,0,0,0,0,0,0
0,22,1255,A,0,0,12,7,12,7,0,0,0,0,0,100,0,0,0,0,0,0
1,34,1255,A,0,0,25,12,22,10,0,0,0,0,0,0,0,0,0,0,1980,0
0,32,1256,A,0,0,20,8,19,7,0,0,0,0,0,0,0,0,0,0,990,0
1,46,1256,A,0,0,29,14,28,14,0,480,0,0,0,0,0,0,0,0,990,0
2,50,1256,A,0,0,7,4,7,4,0,0,0,0,0,0,0,0,0,0,0,0
3,50,1256,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,54,1256,A,0,0,12,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0
5,54,1256,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,56,1256,A,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0
7,62,1256,A,0,0,19,7,17,6,0,420,0,0,0,0,0,0,0,0,990,0
0,8,1257,A,0,0,11,8,7,7,0,0,0,0,0,0,0,0,0,0,2970,0
0,8,1258,A,0,0,8,8,7,7,0,0,0,0,0,0,0,0,0,0,0,0
0,39,1259,A,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1,41,1259,A,0,0,8,2,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2,46,1259,A,0,0,33,5,31,4,0,0,0,0,0,0,0,0,0,0,0,0
3,46,1259,A,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
4,49,1259,A,0,0,19,3,14,1,0,0,0,0,0,0,0,0,0,0,0,0
5,54,1259,A,0,0,22,5,20,3,0,0,0,0,0,0,0,0,0,0,0,0
6,56,1259,A,0,0,35,11,33,10,0,0,0,0,0,0,0,0,0,0,0,0
7,56,1259,A,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46,1260,A,0,0,6,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0
1,46,1260,A,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2,50,1260,A,0,0,12,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0
3,50,1260,A,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
5,51,1260,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6,51,1260,A,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
7,51,1260,A,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,29,1261,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,33,1261,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,34,1261,A,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,38,1261,A,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
